"product_name","price_regular","wine_type","price_offer","offer_from","id","details","grape_variety"
"ALEGRO Bio-Tempranillo Rioja","2.99","red","2.49","2024-03-04",25,"Je 0,75-l-Flasche
Ab 16 Jahren
Jahrgang 2022
Anbaugebiet: Rioja, Spanien
Rebsorte: Tempranillo
Geschmack: trocken
Speiseempfehlung: Geflügel, Schwein, Rind
Dieser trockene Bio Tempranillo aus dem bekannten spanischen Anbaugebiet Rioja überzeugt mit intensiven Aromen von frischen roten Früchten und einem Hauch von schwarzer Lakritze","Tempranillo"
"STUMPF MARTIN 2019 Frankenjungs Silvaner QbA","3.99","white",NULL,NULL,75,"Je 0,75-l-Flasche\nTrockener Weißwein aus Franken\nAb 16 Jahren","Silvaner"
"BADEN Spätburgunder QbA","6.99","red",NULL,NULL,22,"Je 0,75-l-Flasche
Ab 16 Jahren
Der rote und wohl bekannteste Vertreter der Burgunderfamili, der Spätburgunder.
Aus ihm entstehen die international renommiertesten deutschen Rotweine
Dieser Tropfen aus dem sonnenverwöhnten Anbaugebiet Baden überzeugt mit feinen Kirsch- und Beerenfruchtaromen sowie einem dezenten Anklang von dunkler Schokolade
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: trocken
Anbaugebiet: Baden
Herkunft: Deutschland
Rebsorte: Spätburgunder","Spätburgunder"
"BIO-CHAVAL Bobal","4.49","red","2.39","2024-03-25",28,"Je 0,75-l-Flasche
13 % vol.
Ab 16 Jahren
Herkunft: Spanien/Valencia
Rebsorte: Bobal
Jahrgang: 2021
Geschmack: Trocken
Passend zu: Schwein, Kalb, Rind, Eintopf, Reisgerichte, Pasta
90 Punkte James Suckling
90 Punkte Decanter
Gold Gilbert & Gaillard","Bobal"
"AFRICAN ROCK Selection Shiraz","3.49","red","2.99","2024-03-18",5,"Je 0,75-l-Flasche
Ab 16 Jahren
Dieser trockene Fairtrade-Wein bringt südafrikanische Lebensfreude ins Glas.
Die Rebsorten Shiraz und Pinotage machen ihn zu einem fruchtigen und kräftigen Rotwein.
Ein Genuss für Rotwein-Fans!
Weinstil: Rotwein still
Trinktemperatur: 16 – 18 °C
Geschmack: trocken
Anbaugebiet: Western Cape
Herkunft: Südafrika
Rebsorte: Shiraz Pinotage","Shiraz"
"Guia Real Rioja Reserva DOCa","2.99","red",NULL,NULL,27,"Je 0,75-l-Flasche
Ab 16 Jahren
Der spanische Klassiker aus einem der bekanntesten Weinbaugebiete der Welt, dem Rioja
Als Reserva in Eichenholzfässern und auf der Flasche gereift, besticht er heute durch seine runde, harmonische und komplexe Art
Ein absolutes Muss für jeden Rotweinfan
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: trocken
Anbaugebiet: Rioja
Herkunft: Spanien
Rebsorte: Tempranillo","Rioja"
"MARIO COLLINA Merlot Vino d'Italia","1.99","red",NULL,NULL,10,"Je 0,75-l-Flasche
Ein trockener Rotwein aus Italien.
Die Rebsorte Merlot ist bekannt und beliebt für ihre Aromenvielfalt.
So überzeugt dieser Wein mit Aromen von Kirsche, dunklen Beeren, Pflaumen und einer feinen Kräuterwürze.
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: trocken
Anbaugebiet:
Herkunft: Italien
Rebsorte: Merlot","Merlot"
"Lil Rose Wild Berry","1.99","rose",NULL,NULL,34,"Je 0,75-l-Flasche
Ab 16 Jahren
Mit Waldbeerengeschmack",NULL
"BURLWOOD Cellars Cabernet Sauvignon Kalifornien","3.49","red","2.99","2024-03-11",12,"Je 0,75 l Flasche
Das Aushängeschild der Amerikanischen Weinwelt: Cabernet-Sauvignon
Dieser trockene Rotwein aus der renommierten Winery E.& J. Gallo in Kalifornien begeistert mit Aromen von Vanille, Kirschgelee und Johannisbeere, vereint mit einer dezenten würzigen Note
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: trocken
Anbaugebiet: Kalifornien
Herkunft: USA
Rebsorte: Cabernet Sauvignon
Alkoholgehalt: 13,0 % Vol.
Ab 16 Jahren","Cabernet Sauvignon"
"Dornfelder Barrique QbA Rheinhessen/Pfalz","3.39","red",NULL,NULL,14,"Je 0,75-l-Flasche
Ab 16 Jahren
Der perfekte Wein für Fans trockener Rotweine
Der Ausbau im hölzernen Barriquefass verleiht diesem Dornfelder, dem Klassiker unter den deutschen Rotweinrebsorten, seinen Charakter und prägt den Wein mit einer dezenten Holznote
Am Gaumen anhaltend mit Anklängen reifer Waldbeeren
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: trocken
Anbaugebiet: Rheinhessen oder Pfalz
Herkunft: Deutschland
Rebsorte: Dornfelder","Dornfelder"
"COLLECTION WÜRTTEMBERG Schwarzriesling Qualitätswein","1.99","red",NULL,NULL,29,"Je 1-l-Flasche
Ab 16 Jahren
Mit Noten von Kirsche, Himbeere und Kräutern überzeugt dieser Schwarzriesling in der Nase
Am Gaumen präsentiert er sich saftig mit einer feinen Süße und wunderbar dezenten Tanninen
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: lieblich
Anbaugebiet: Württemberg
Herkunft: Deutschland
Rebsorte: Schwarzriesling
Der Wein passt gut zu folgenden Speisen: Helles Fleisch, Dessert","Schwarzriesling"
"Merlot Pays d'OC IGP","2.29","red","1.69","2024-03-25",7,"Je 0,75-l-Flasche
Ab 16 Jahren
Merlot - eine der weltweit beliebtesten Rebsorten aus dem Süden des traditionsreichen Weinlands Frankreich
Aromen dunkler Beerenfrüchte, eingebunden in sanfte Tannine, harmonisch und ungekünstelt - immer passend!
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: trocken
Anbaugebiet: Pays d'Oc
Herkunft: Frankreich
Rebsorte: Merlot","Merlot"
"Trollinger Württemberg QbA aus der Lage Stuttgarter Weinsteige","3.89","red",NULL,NULL,4,"Je 0,75-l-Flasche
Ab 16 Jahren
Mit ihren sonnigen, steil zum Neckar abfallenden Weinbergen zählt die Weinregion Stuttgart zur Spitzenklasse der Württemberger Weinlagen
Milde Jahrestemperaturen begünstigen den Weinbau und bringen Weine höchster Qualität hervor, wie auch diesen feinfruchtig-eleganten und kraftvollen Trollinger
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: trocken
Anbaugebiet: Württemberg
Herkunft: Deutschland
Rebsorte: Trollinger
Der Wein passt gut zu folgenden Speisen: Dunkles Fleisch, Helles Fleisch, Käse, Pasta","Trollinger"
"FABIENNE BRIEM Grauburgunder QbA","1.99","white",NULL,NULL,82,"Je 0,75-l-Flasche\nAb 16 Jahren\nJahrgang: 2022\nDie junge Winemakerin Fabienne Briem weiß genau, was für Sie einen modernen Grauburgunder auszeichnet: frische sortentypische Aromen von Pfirsich, Aprikose und Birne, kombiniert mit einer mineralischen Prägung und perfekter Süße-Säure-Balance. Dieser Grauburgunder ist ein junger Wein der viele Sonnenstunden in sich trägt und seine Klasse sofort unter Beweis stellt. Ganz nach dem Geschmack einer neuen innovativen Generation\nIdeal zu Barbecue, Gemüse und Meeresfrüchten\nTrinktemperatur: 8 - 10 °C",NULL
"AFRICAN ROCK SELECTION Sauvignon Blanc","1.99","white",NULL,NULL,60,"Je 0,75-l-Flasche
Ab 16 Jahren
Der African Rock Selection aus der Rebsorte Sauvignon Blanc ist der Ausdruck einer eigenständigen südafrikanischen Weinkultur: knackige Säure und saftiger Charakter - so präsentiert sich dieser trockene Weißwein aus den sonnigen Weinbergen Südafrikas
Das einzigartige Klima auf der Landzunge südlich von Kapstadt trägt maßgeblich zur Finesse dieses Weines bei
Weinstil: Weißwein still
Trinktemperatur: 9 - 11 °C
Geschmack: trocken
Anbaugebiet: Western Cape
Herkunft: Südafrika
Rebsorte: Sauvignon Blanc","Sauvignon Blanc"
"OYSTER CLIFF Riesling QbA","2.99","white",NULL,NULL,83,"Je 0,75-l-Flasche","Riesling"
"2021 La Ferme Julien Vin de France","3.99","rose",NULL,NULL,32,"Je 0,75-l-Flasche
Ab 16 Jahren
Saisonal verfügbar
Herkunft: Frankreich",NULL
"Tendenza Nero d'Avola Rosé","3.99","rose",NULL,NULL,38,"Je 0,75-l-Flasche
Ab 16 Jahren
Wein aus Süditalien
Entstanden unter der intensiven Sonne Siziliens","Nero d'Avola"
"CHRISTOPH KERN Riesling QbA","4.99","white","3.99","2024-03-11",86,"Aus Württemberg in Deutschland. Je 0,75-l Flasche.","Riesling"
"HANDWERK Chardonnay QbA","4.99","white",NULL,NULL,81,"Je 0,75-l-Flasche\nAb 16 Jahren\nWeinart: Weißwein\nJahrgang: 2021\nRebsorte: Chardonnay\nGeschmack: trocken\nTemperatur: 8 – 10 °C\nFruchtige Aromen, gepaart mit feinem Schmelz, ein voluminöser Wein mit langem Abgang\n87 Punkte im falstaff Tasting 2022\nIn diesem trockenen Chardonnay steckt die Leidenschaft und das handwerkliche Geschick des Kellermeisters Harald Kroll","Chardonnay"
"HANDWERK Chardonnay QbA","2.99","white","2.49","2024-03-04",92,"Je 0,75-l-Flasche\nAb 16 Jahren\nWeinart: Weißwein\nJahrgang: 2021\nRebsorte: Chardonnay\nGeschmack: trocken\nTemperatur: 8 – 10 °C\nFruchtige Aromen, gepaart mit feinem Schmelz, ein voluminöser Wein mit langem Abgang\n87 Punkte im falstaff Tasting 2022\nIn diesem trockenen Chardonnay steckt die Leidenschaft und das handwerkliche Geschick des Kellermeisters Harald Kroll","Chardonnay"
"LE ROUGE Terres Du Midi IGP 1","5.49","red",NULL,NULL,13,"Je 1,0-l-Flasche
Ab 16 Jahren
Aromatischer unkomplizierter trockener ""Roter Franzose"" aus typischen Rebsorten des sonnigen Südens Frankreichs
Idealer Begleiter vieler Speisen oder gefälliger Allrounder
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: trocken
Anbaugebiet: Südfrankreich
Herkunft: Frankreich
Rebsorte: Diverse",NULL
"LEITZ Weißburgunder","4.99","white","3.49","2024-03-11",88,"Je 0,75-l-Flasche",NULL
"Riesling & Gewürztraminer QbA","5.79","white",NULL,NULL,79,"Je 0,75-l-Flasche\nSaisonal verfügbar","Riesling"
"Roséwein aus der Republik Nordmazedonien","4.49","rose",NULL,NULL,35,"Je 1-l-Flasche
Ab 16 Jahren
Lieblicher Roséwein aus Südosteuropa
Unkomplizierter Trinkgenuss
Fruchtig im Geschmack
Weinstil: Roséwein still
Trinktemperatur: 8 - 10 °C
Geschmack: lieblich
Anbaugebiet: Republik Mazedonien
Herkunft: Republik Nordmazedonien",NULL
"Spätburgunder Weißherbst Baden QbA","2.49","rose","1.99","2024-03-25",40,"Je 0,75-l-Flasche
Ab 16 Jahren
Weißherbst ist nicht gleich Rosé
Weißherbst wird zu 100 % aus einer roten Rebsorte gekeltert, hier aus der beliebten Spätburgundertraube - eine deutsche Spezialität unter den Roséweinen
Dieser Tropfen aus dem sonnenverwöhnten Anbaugebiet Baden bietet unkomplizierten Genuss mit Beerenfruchtaromen
Weinstil: Roséwein still
Trinktemperatur: 8 - 10 °C
Geschmack: halbtrocken
Anbaugebiet: Baden
Herkunft: Deutschland
Rebsorte: Spätburgunder
Herzhaft aus Baden
Qualität aus Deutschland","Spätburgunder"
"Catalunya DO Crian en Barrica","4.49","red",NULL,NULL,17,"Je 0,75-l-Flasche
Ab 16 Jahren
Ausbau im Eichenholzfass
Trocken
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: trocken
Anbaugebiet: Catalunya
Herkunft: Spanien
Rebsorte: Tempranillo, Garnacha
Der Wein passt gut zu duklem Fleisch",NULL
"Franken Silvaner Kabinett","4.99","white",NULL,NULL,78,"Je 0,75-l-Flasche\nDieser Wein überzeugt mit seinem feinfruchtigen Charakter und wunderbarer Balance. Ein fantastischer Begleiter zu feinen Fischgerichten oder zu kalten Vorspeisen\nWeinstil: Weißwein still\nTrinktemperatur: 9 - 11 °C\nGeschmack: trocken\nAnbaugebiet: Franken\nHerkunft: Deutschland\nRebsorte: Silvaner\nDer Wein passt gut zu folgenden Speisen: Fisch, Meeresfrüchte, Pasta, Vegetarisch","Silvaner"
"GIACONDI Nero D'Avola Merlot DOC","2.79","red",NULL,NULL,11,"Je 0,75-l-Flasche
Ab 16 Jahren
Ein kräftiger sizilianischer Rotwein, der aus den gebietstypischen Nero d'Avola-Trauben und der Rebsorte Merlot gewonnen wird
Veredelt wird dieser elegante Wein durch Ausbau im Eichenholzfass
Er überzeugt durch Walderdbeernoten, die hervorragend mit den Gewürznoten im Einklang stehen
Dazu passen schmackhafte Gerichte mit Fleisch, Gemüse und gegrilltem Fisch
Weinstil: Rotwein still
Trinktemperatur: 18 °C
Geschmack: trocken
Anbaugebiet: Sizilien
Herkunft: Italien
Rebsorte: Nero d'Avola Merlot","Merlot"
"Weingut Johannes Leitz Riesling Rheingau QbA","6.99","white","6.49","2024-03-18",61,"Geschmacksrichtung: Trocken
Anbaugebiet: Rheingau
Trinktemperatur: 9-11 C°
Dieser trockene deutsche Riesling verkörpert die Charakteristika des Rheingaus und bietet eine harmonische Mischung aus Frische und Mineralität. Ideal zu leichten Fischgerichten oder einfach als erfrischender Aperitif.","Riesling"
"Riesling Classic Rheinhessen/Pfalz QbA","2.79","white","2.59","2024-04-01",58,"Die Qualitätsbezeichnung „Classic“ wird ausschließlich bei Weinen aus gebietstypischen, klassischen Rebsorten von gehobener Qualität verwendet. Dieser charaktervolle Riesling erfüllt in vollem Umfang diesen Qualitätsanspruch.
Weinstil: Weißwein still
Trinktemperatur: 9 – 11 °C
Geschmack: halbtrocken
Anbaugebiet: Rheinhessen oder Pfalz
Herkunft: Deutschland
Rebsorte: Riesling
Der Wein passt gut zu folgenden Speisen: Fisch, Meeresfrüchte, Pasta, Vegetarisch
0,75-l-Flasche","Riesling"
"La Ferme Julien Rosé","5.99","rose",NULL,NULL,41,"Je 0,75-l-Flasche
Frankreich
Trocken
Aromatischer und vollmundiger Roséwein aus dem Familienbetrieb Perrin. Seit fünf Generationen bringt die Familie Perrin all ihre Leidenschaft und Erfahrung ein, um Weine wie die von La Ferme Julien herzustellen
87+ Falstaff Punkte (Tasting 2021)
Ab 16 Jahren",NULL
"Comis Bardolino di Chiaretto","3.39","rose",NULL,NULL,39,"Je 0,75-l-Flasche
Dieser brillante Rosé überzeugt mit intensiv blumigen Noten in der Nase und seinem ausgesprochen
harmonischen und fruchtigen Geschmack",NULL
"Dornfelder Rosé QbA Rheinhessen/Pfalz","2.49","rose","1.79","2024-03-04",36,"Je 0,75-l-Flasche
Die Rebsorte Dornfelder ist ein Klassiker unter den deutschen Rotweinrebsorten
So bietet dieser Roséwein mit seiner typisch intensiven, leuchtenden Farbe und seinem wenig säurebetonten Charakter fruchtigen Trinkgenuss
Weinstil: Roséwein still
Trinktemperatur: 8 - 10 °C
Geschmack: halbtrocken
Anbaugebiet: Rheinhessen oder Pfalz
Herkunft: Deutschland
Rebsorte: Dornfelder","Dornfelder"
"Riesling Mittelrhein QbA","3.49","white","2.99","2024-03-25",59,"Je 0,75-l-Flasche
Ab 16 Jahren
Geprägt von der Region - typisch mineralisch und feinfruchtig.
Elegant eingebundene Säure und dezent blumiges Aroma.
Weinstil: Weißwein still
Trinktemperatur: 9 - 11 °C
Geschmack: feinherb
Anbaugebiet: Mittelrhein
Herkunft: Deutschland
Rebsorte: Riesling
Ideal zu hellem Fleisch, Fisch, Meeresfrüchten und Pasta","Riesling"
"Bio-Grauburgunder QbA","4.49","white","3.99","2024-03-18",101,"Je 0,75-l-Flasche\nAb 16 Jahren\nDer junge Grauburgunder, trocken ausgebaut, mit einer Aromavielfalt der seinesgleichen sucht\nErinnert an fruchtige Aromen wie Birne, Ananas und Zitrusfrüchte. Im Gaumen verbreitet sich ein warmer, kräftiger Geschmack\nDer Wein begleitet Pasta, herzhaftes Brot und Meeresfrüchte. Vom Esstisch zum Wohnzimmer, der Burgunder macht es möglich",NULL
"Grüner Veltiner","3.99","white",NULL,NULL,99,"1,0-l-Flasche\nAb 16 Jahren\nIntensiv und würzig - so präsentiert sich dieser Grüner Veltliner aus Österreich\nAls Jungwein getrunken hat er seinen Namen von den Buschenschänken Österreichs, den ""Heurigen""\nÜberzeugen Sie sich selbst von Österreichs beliebtester Rebsorte!\nWeinstil: Weißwein still\nTrinktemperatur: 9-11 °C\nGeschmack: trocken\nAnbaugebiet: Niederösterreich\nHerkunft: Österreich\nRebsorte: Grüner Veltliner","Grüner Veltiner"
"Riesling & Gewürztraminer QbA","3.99","white",NULL,NULL,90,"Je 0,75-l-Flasche\nSaisonal verfügbar","Riesling"
"STUMPF MARTIN 2019 Frankenjungs Silvaner QbA","2.79","white",NULL,NULL,87,"Je 0,75-l-Flasche\nTrockener Weißwein aus Franken\nAb 16 Jahren","Silvaner"
"Müller-Thurgau QbA Baden","2.79","white","1.99","2024-03-11",107,"Je 1-l-Flasche Ab 16 Jahren Müller-Thurgau, oft auch Rivaner genannt, zählt zu den wichtigsten deutschen Weißweinrebsorten und zeichnet sich durch eine feinfruchtige Art aus Aus dem sonnenverwöhnten Weinbaugebiet Baden stammt dieser halbtrockene Weißwein Weinstil: Weißwein still Trinktemperatur: 9 – 11 °C Geschmack: halbtrocken Anbaugebiet: Rheinhessen oder Pfalz Herkunft: Deutschland Rebsorte: Müller-Thurgau Feinfruchtig aus Baden Qualität aus Deutschland","Müller-Thurgau"
"Grauer Burgunder QbA Baden","3.59","white","2.99","2024-03-18",80,"Je 0,75-l-Flasche\nGrauburgunder, international auch als Pinot Grigio bekannt, ist eine traditionsreiche, für Baden typische Rebsorte und zählt zu den bekanntesten Rebsorten der Welt\nDieser Tropfen aus dem sonnenverwöhnten Anbaugebiet Baden besticht durch seine schönen Fruchtaromen\nWeinstil: Weißwein still\nTrinktemperatur: 9 - 11 °C\nGeschmack: trocken\nAnbaugebiet: Baden\nHerkunft: Deutschland\nRebsorte: Grauer Burgunder",NULL
"Grauer Burgunder QbA Baden","4.99","white",NULL,NULL,91,"Je 0,75-l-Flasche\nGrauburgunder, international auch als Pinot Grigio bekannt, ist eine traditionsreiche, für Baden typische Rebsorte und zählt zu den bekanntesten Rebsorten der Welt\nDieser Tropfen aus dem sonnenverwöhnten Anbaugebiet Baden besticht durch seine schönen Fruchtaromen\nWeinstil: Weißwein still\nTrinktemperatur: 9 - 11 °C\nGeschmack: trocken\nAnbaugebiet: Baden\nHerkunft: Deutschland\nRebsorte: Grauer Burgunder",NULL
"EDITION FRITZ KELLER Baden Weißer Burgunder","3.49","white",NULL,NULL,84,"Exklusiv von Fritz Keller: badischer Weißburgunder mit ausdrucksstarkem Charakter. Kräftiger trockener Weißwein aus der Weinbauregion Baden wurde exklusiv von Top-Winemaker Fritz Keller für ALDI kreiert. Alle Trauben der Rebsorte Weißburgunder werden von Hand gelesen. Lassen Sie sich von seinem vollmundigen Geschmack überzeugen. Weinstil: Weißwein still. Trinktemperatur: 9 - 11 °C. Geschmack: trocken. Anbaugebiet: Baden. Herkunft: Deutschland. Rebsorte: Weißer Burgunder. Sonnenverwöhnt aus Baden. Qualität aus Deutschland","Weißer Burgunder"
"FABIENNE BRIEM Grauburgunder QbA","3.99","white",NULL,NULL,93,"Je 0,75-l-Flasche\nAb 16 Jahren\nJahrgang: 2022\nDie junge Winemakerin Fabienne Briem weiß genau, was für Sie einen modernen Grauburgunder auszeichnet: frische sortentypische Aromen von Pfirsich, Aprikose und Birne, kombiniert mit einer mineralischen Prägung und perfekter Süße-Säure-Balance. Dieser Grauburgunder ist ein junger Wein der viele Sonnenstunden in sich trägt und seine Klasse sofort unter Beweis stellt. Ganz nach dem Geschmack einer neuen innovativen Generation\nIdeal zu Barbecue, Gemüse und Meeresfrüchten\nTrinktemperatur: 8 - 10 °C",NULL
"Bio-Grauburgunder QbA","3.49","white",NULL,NULL,110,"Je 0,75-l-Flasche Ab 16 Jahren Der junge Grauburgunder, trocken ausgebaut, mit einer Aromavielfalt der seinesgleichen sucht Erinnert an fruchtige Aromen wie Birne, Ananas und Zitrusfrüchte. Im Gaumen verbreitet sich ein warmer, kräftiger Geschmack Der Wein begleitet Pasta, herzhaftes Brot und Meeresfrüchte. Vom Esstisch zum Wohnzimmer, der Burgunder macht es möglich",NULL
"EXQUISITE COLLECTION Gewürztraminer Vin d'Alsace AOP","3.99","white",NULL,NULL,95,"Je 0,75-l-Flasche\nAb 16 Jahren\nAromatisch und fruchtbetont\nWeinstil: Weißwein still\nTrinktemperatur: 16 - 18 °C\nAnbaugebiet: Elsass\nRebsorte: Gewürztraminer\nIdeal zu Käse","Gewürztraminer"
"EXQUISITE COLLECTION Gewürztraminer Vin d'Alsace AOP","3.29","white",NULL,NULL,104,"Je 0,75-l-Flasche Ab 16 Jahren Aromatisch und fruchtbetont Weinstil: Weißwein still Trinktemperatur: 16 - 18 °C Anbaugebiet: Elsass Rebsorte: Gewürztraminer Ideal zu Käse","Gewürztraminer"
"Franken Silvaner Kabinett","2.79","white",NULL,NULL,94,"Je 0,75-l-Flasche\nDieser Wein überzeugt mit seinem feinfruchtigen Charakter und wunderbarer Balance. Ein fantastischer Begleiter zu feinen Fischgerichten oder zu kalten Vorspeisen\nWeinstil: Weißwein still\nTrinktemperatur: 9 - 11 °C\nGeschmack: trocken\nAnbaugebiet: Franken\nHerkunft: Deutschland\nRebsorte: Silvaner\nDer Wein passt gut zu folgenden Speisen: Fisch, Meeresfrüchte, Pasta, Vegetarisch","Silvaner"
"Bio-Verdecillo blanco","3.99","white",NULL,NULL,103,"Je 0,75-l-Flasche\nJahrgang: 2022\nEin fruchtig frischer Bio-Weißwein aus Spanien. Der sich im Glas mit seiner strohgelben Farbe präsentiert und mit einem tollen Bouquet aus Blüten und exotischen Früchten überzeugt\nIdeal zu Antipasti, Lamm und Meeresfrüchten\nTrinktemperatur: 8 - 10 °C","Verdecillo"
"Bio-Verdecillo blanco","5.49","white",NULL,NULL,112,"Je 0,75-l-Flasche Jahrgang: 2022 Ein fruchtig frischer Bio-Weißwein aus Spanien. Der sich im Glas mit seiner strohgelben Farbe präsentiert und mit einem tollen Bouquet aus Blüten und exotischen Früchten überzeugt Ideal zu Antipasti, Lamm und Meeresfrüchten Trinktemperatur: 8 - 10 °C","Verdecillo"
"Müller-Thurgau QbA Baden","1.99","white",NULL,NULL,98,"Je 1-l-Flasche\nAb 16 Jahren\nMüller-Thurgau, oft auch Rivaner genannt, zählt zu den wichtigsten deutschen Weißweinrebsorten und zeichnet sich durch eine feinfruchtige Art aus\nAus dem sonnenverwöhnten Weinbaugebiet Baden stammt dieser halbtrockene Weißwein\nWeinstil: Weißwein still\nTrinktemperatur: 9 – 11 °C\nGeschmack: halbtrocken\nAnbaugebiet: Rheinhessen oder Pfalz\nHerkunft: Deutschland\nRebsorte: Müller-Thurgau\nFeinfruchtig aus Baden\nQualität aus Deutschland","Müller-Thurgau"
